temporada_alta;dif_min;atraso_15;periodo_dia
1;3.0;0;Noche
1;9.0;0;Noche
1;9.0;0;Noche
1;3.0;0;Noche
1;-2.0;0;Noche
1;34.0;1;Noche
1;-5.0;0;Noche
1;-5.0;0;Noche
1;40.0;1;Noche
1;69.0;1;Noche
1;-9.0;0;Noche
1;14.0;0;Noche
1;-7.0;0;Noche
1;-4.0;0;Noche
1;-11.0;0;Noche
1;-9.0;0;Noche
1;-9.0;0;Noche
1;-12.0;0;Noche
1;15.0;0;Noche
1;-2.0;0;Noche
1;2.0;0;Noche
1;8.0;0;Noche
1;-5.0;0;Noche
1;52.0;1;Noche
1;-5.0;0;Noche
1;0.0;0;Noche
1;26.0;1;Noche
1;-3.0;0;Noche
1;-5.0;0;Noche
1;2.0;0;Noche
1;2.0;0;Noche
1;-7.0;0;Noche
1;-1.0;0;Noche
1;5.0;0;Noche
1;-4.0;0;Noche
1;1.0;0;Noche
1;-5.0;0;Noche
1;3.0;0;Noche
1;-2.0;0;Noche
1;-4.0;0;Noche
1;-6.0;0;Noche
1;4.0;0;Noche
1;-4.0;0;Noche
1;-4.0;0;Noche
1;-9.0;0;Noche
1;-10.0;0;Noche
1;0.0;0;Noche
1;-2.0;0;Noche
1;1.0;0;Noche
1;-4.0;0;Noche
1;10.0;0;Noche
1;20.0;1;Noche
1;11.0;0;Noche
1;24.0;1;Noche
1;-5.0;0;Noche
1;-7.0;0;Noche
1;14.0;0;Noche
1;5.0;0;Noche
1;0.0;0;Noche
1;25.0;1;Noche
1;1.0;0;Noche
1;0.0;0;Noche
1;-4.0;0;Noche
1;13.0;0;Noche
1;-3.0;0;Noche
1;2.0;0;Noche
1;-5.0;0;Noche
1;0.0;0;Noche
1;-2.0;0;Noche
1;3.0;0;Noche
1;-9.0;0;Noche
1;5.0;0;Noche
1;-3.0;0;Noche
1;-4.0;0;Noche
1;-10.0;0;Noche
1;-9.0;0;Noche
1;62.0;1;Noche
1;2.0;0;Noche
1;-8.0;0;Noche
1;19.0;1;Tarde
1;60.0;1;Tarde
1;17.0;1;Tarde
1;26.0;1;Tarde
1;14.0;0;Tarde
1;67.0;1;Tarde
1;84.0;1;Tarde
1;63.0;1;Tarde
1;97.0;1;Tarde
1;17.0;1;Tarde
1;90.0;1;Tarde
1;130.0;1;Tarde
1;24.0;1;Tarde
1;77.0;1;Tarde
1;32.0;1;Tarde
1;39.0;1;Tarde
1;48.0;1;Tarde
1;6.0;0;Tarde
1;2.0;0;Tarde
1;28.0;1;Tarde
1;11.0;0;Tarde
1;33.0;1;Tarde
1;69.0;1;Tarde
1;20.0;1;Tarde
1;3.0;0;Tarde
1;22.0;1;Tarde
1;21.0;1;Tarde
1;22.0;1;Tarde
1;27.0;1;Tarde
1;6.0;0;Tarde
1;20.0;1;Noche
1;17.0;1;Noche
1;19.0;1;Noche
1;47.0;1;Noche
1;5.0;0;Noche
1;63.0;1;Noche
1;55.0;1;Noche
1;53.0;1;Noche
1;105.0;1;Noche
1;20.0;1;Noche
1;72.0;1;Noche
1;26.0;1;Noche
1;99.0;1;Noche
1;52.0;1;Noche
1;33.0;1;Noche
1;147.0;1;Noche
1;18.0;1;Noche
1;25.0;1;Noche
1;5.0;0;Noche
1;21.0;1;Noche
1;13.0;0;Noche
1;21.0;1;Noche
1;11.0;0;Noche
1;-4.0;0;Noche
1;-1.0;0;Noche
1;8.0;0;Noche
1;6.0;0;Noche
1;-4.0;0;Noche
1;6.0;0;Noche
1;-4.0;0;Tarde
1;0.0;0;Tarde
1;3.0;0;Tarde
1;-1.0;0;Tarde
1;-10.0;0;Tarde
1;16.0;1;Tarde
1;-1.0;0;Tarde
1;1.0;0;Tarde
1;14.0;0;Tarde
1;8.0;0;Tarde
1;7.0;0;Tarde
1;7.0;0;Tarde
1;5.0;0;Tarde
1;17.0;1;Tarde
1;1.0;0;Tarde
1;12.0;0;Tarde
1;-3.0;0;Tarde
1;33.0;1;Tarde
1;6.0;0;Tarde
1;-4.0;0;Tarde
1;8.0;0;Tarde
1;7.0;0;Tarde
